TURN,5.2,1.08,1.9,1.5,-0.75,-0.75
FLWS,-0.04,-0.09,-0.02,-0.01,-0.01,-0.04
VNET,-0.06,-0.23,-0.18,-0.2,-0.39,0.01
TWOU,-0.15,-0.12,-0.13,-0.13,-0.08,-0.08
JOBS,-0.15,-0.17,-0.12,-0.22,-0.37,-0.21
EGHT,-0.09,-0.12,-0.14,-0.13,-0.43,-0.21
AAON,-0.02,-0.02,-0.03,-0.01,-0.03,-0.03
ABEO,2.0,-25.0,-5.0,-9.0,-4.0,-3.6
ABIL,-0.17,-0.17,0.1,0.18,0.33,-2.0
ABMD,-0.09,0.31,-0.12,-0.14,-0.14,-0.02
AXAS,-0.14,-0.25,-2.0,-2.16,-0.26,-0.59
ACIU,-0.59,0.97,-0.62,-0.04,-0.2,-0.27
ACIA,0.01,0.08,0.06,-0.06,-0.23,-0.23
ACTG,-0.4,-0.53,-1.2,-0.58,-0.03,-2.34
ACHC,-0.03,-0.07,-0.13,-0.07,-0.2,-0.2
ACAD,-0.2,-0.2,-3.59,-0.57,-0.35,-0.35
ACST,-5.0,-5.0,-5.0,-5.0,-5.0
AXDX,-5.0,-5.0,-5.0,-2.0,1.0
XLRN,0.13,-1.11,-0.43,-2.38,-1.71,-1.71
ARAY,-0.09,-0.06,-0.15,-0.08,-0.1,-0.06
ACRX,0.2,-0.21,-0.82,-2.75,-9.0,-9.0
ACER,-1.0,-0.33,0.33,0.33,0.33,0.33
ACHV,-0.33,-0.44,2.0,2.0,2.0,2.0
ACHN,2.0,-0.17,0.27,0.27,0.27,0.27
ACIW,-0.08,-0.09,0.03,-0.14,-0.11,-0.11
ACRS,-0.11,-0.11,-0.11,-0.11,-7.0,-3.57
ACMR,-3.57,-3.57,0.06,0.19,0.22,0.2
ACOR,-0.14,-0.05,-0.13,-0.54,-0.25,-0.25
ATVI,-0.06,-0.1,-0.06,-0.18,-0.28,-0.28
ADMS,-0.29,-2.5,-12.0,-22.0,-0.79,-0.79
ADMP,-0.79,-0.79,-0.79,0.33,-0.85,-0.57
ADAP,-0.57,-50.0,1.0,-1.71,-0.42,-0.42
ADUS,-0.03,0.02,0.02,0.03,-0.09,-0.04
AEY,0.03,-0.05,-0.1,-0.06,-0.23,-0.22
IOTS,-0.14,-0.2,-0.02,-0.16,-0.11,-0.04
ADMA,-0.33,-0.43,-0.18,-0.3,-0.18,-0.18
ADBE,-0.25,-0.18,-0.18,-0.17,-0.32
ADOM,-0.32,-0.32,-0.32,-0.32,-1.2,-1.2
ADTN,-0.02,0.0,-0.01,0.1,-0.14,-0.14
ADRO,-2.77,-2.66,-0.1,-0.18,-1.73,-1.73
ADES,-0.46,2.59,-0.03,2.27,1.11,6.0
AEIS,-0.01,-0.05,-0.63,0.02,-0.07,-0.07
AMD,-0.06,-0.11,-0.14,-0.0,0.0
ADVM,-19.0,-6.0,-76.0,-5.5,-9.5,-9.5
AEGN,-0.09,-0.1,-0.04,-0.1,-0.03,-0.03
AGLE,-0.03,0.0,-0.6,-0.4,-3.0,-3.0
AEHR,0.05,-0.5,-0.07,-0.11,0.07,0.0
AMTX,-0.12,-0.07,-0.18,-0.11,-0.14,-0.14
AERI,-0.14,-0.14,-0.14,-0.14,-3.33,-3.33
AVAV,-0.06,-0.14,0.03,0.08,-0.18,0.06
AEZS,4.5,4.5,-16.0,4.0,6.0,0.15
AEMD,-5.5,-2.0,-1.0,-1.0,-1.0
AFMD,-4.0,3.67,-0.12,0.0,-2.0,-2.5
AGEN,-3.33,-0.57,-1.64,-2.04,-0.63,-0.67
AGYS,0.17,-0.09,-0.09,-0.12,-0.12,-0.12
AGIO,0.08,-0.69,-3.39,-0.7,-0.45,-0.45
